url;Publication;Authors;Institution;Affiliation;Country;Journal;Citations;Date;Year;Application;Materials;Number of classes;Classes;Exploratory data analysis;Preprocessing;Feature selection;Feature selection approach;Spectral input;Classification approaches;Classification;Classifier;Best model;Validation internal;Validation external;Model validation;Software
https://www.sciencedirect.com/science/article/abs/pii/S0584854715001846?via%3Dihub;Increased identification rate of scrap metal using Laser Induced Breakdown Spectroscopy Echelle spectra;Merk et al., 2015;LTB;LTB Lasertechnik Berlin GmbH, Germany;Germany;Spectrochimica Acta Part B: Atomic Spectroscopy;29;28.07.2015;2015;Materials;Scrap metal;10;Ag alloy, Al alloy, Cr alloy, Cu alloy, Fe alloy, Ni alloy, Pb alloy, Sn alloy, Zn alloy, brass;?;Smooth, NormSNV;-;-;LIBS spectrum:  RawInt (242-548 nm);PCA, PLS-DA;PLS-DA;PLS-DA;PLS-DA (9 LVs);-;accuracy: 88%;External;?
https://pubs.rsc.org/en/content/articlelanding/2015/ay/c5ay02208h#!divAbstract;Classification of different types of slag samples by laser-induced breakdown spectroscopy (LIBS) coupled with random forest based on variable importance (VIRF);Tang et al., 2015;Northwest University ;Institute of Analytical Science, School of Chemistry & Material Science, Northwest University, China;China;Analytical Methods;19;21.09.2015;2015;Materials;Slag;3;open-hearth furnace slag, converter slag, high titanium slag;Visual inspection;NormArea;VIRF;Embedded (RF);LIBS spectrum:  RawInt (200-500 nm);PLS-DA, SVM, RF, VI-RF;RF;RF;RF;accuracy: 99%;-;Internal;MATLAB
https://iopscience.iop.org/article/10.1088/1009-0630/17/11/06/pdf;Classification and Discrimination of Minerals Using Laser Induced Breakdown Spectroscopy and Raman Spectroscopy;Bi et al., 2015;Shandong University;School of Mechanicals, Electrical & Information Engineering, Shandong University, China;China;Plasma Science and Technology;10;01.11.2015;2015;Geological samples;Minerals;6;gypsum, spodumene, barite, haematite, moonstone, labradorite;Visual inspection;Norm;algorithmic peak extraction;Algorithmic peak extraction;LIBS-Raman:  3265 PeakInt (200-915 nm) + Raman (150-4500cm-1);PLS-DA, ANN, SVM;ANN;ANN, SVM;ANN, SVM;accuracy: 100%;-;Internal;MATLAB
https://iopscience.iop.org/article/10.1088/1009-0630/17/11/14/meta;Selection of spectral data for classification of steels using laser-induced breakdown spectroscopy;Kong et al., 2015;Chinese Academy of Sciences;Shenyang Institute of Automation, Chinese Academy of Sciences, China;China;Plasma Science and Technology;15;01.11.2015;2015;Materials;Steel;4;carbon steels, low alloy steels, high alloy steels, stainless steel;Visual inspection + PCA;-;wrapper (PCA-ANN);Wrapper-based;LIBS subregion:  1474 RawInt (357-367 nm);PCA, ANN;ANN;PCA-ANN;ANN;accuracy: 100%;-;Internal;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0584854716300106;Multivariate classification of edible salts: Simultaneous Laser-Induced Breakdown Spectroscopy and Laser-Ablation Inductively Coupled Plasma Mass Spectrometry Analysis;Lee et al., 2016;Mokpo National University;Department of Chemistry, Mokpo National University, Republic of Korea;South Korea;Spectrochimica Acta Part B: Atomic Spectroscopy;31;01.04.2016;2016;Foodstuff;Salts;10;"Laizhou, Okinawa, Hokkaido, Kochi, Jeung-Do, Haenam, Younggwang, Guerande, Brazil, Chile (sea salts); Mongolia, Poland, India, Pakistan (rock salts) ";PCA;NormIS (Na: 330.2, 819.5 nm);domain knowledge;Domain k-wledge;"LIBS subregion: RawInt (362-410 nm; 765-771 nm)";PCA, PLS-DA;PLS-DA;PLS-DA;PLS-DA ;accuracy: 87.2%;-;Internal;Unscrambler
https://www.sciencedirect.com/science/article/abs/pii/S0143816615002596;Study of archaeological coins of different dynasties using libs coupled with multivariate analysis;Awasthi et al., 2016;University of Allahabad;Department of Physics, University of Allahabad, India;India;Optics and Lasers in Engineering;35;01.04.2016;2016;Materials;Coins;5;Coin of Western Kshatrapa Rulers Rudrasimha, Coin of Indo- Parthian and Northen Kshstrapa Rulers, Coin of Maghas, Coin of Pusavasri, Coin of Gonapatroga  ;PCA;-;-;?;-;-;?;?;-;-;-;?;Unscrambler
https://pubs.rsc.org/en/content/articlelanding/2016/ay/c6ay01138a#!divAbstract;Direct chemical inspection of eye shadow and lipstick solid samples using laser-induced breakdown spectroscopy (LIBS) and chemometrics: proposition of classification models;Augusto et al., 2016;Federal University of São Carlos;Chemistry Department, Federal University of São Carlos, Brazil;Brazil;Analytical Methods;14;29.06.2016;2016;Materials;Eye shadow;2;contaminated ( > 5 mg kg-1), non-contaminated  ( > 5 mg kg-1);PCA;-;PCA-based;PCA;LIBS subregion:  4853 RawInt (186-580 nm);PCA, SIMCA, PLS-DA, KNN;KNN;KNN;KNN (3 neighbors);accuracy: 98%;-;Internal;?
https://pubs.rsc.org/en/content/articlelanding/2016/ja/c6ja00224b#!divAbstract;Twelve different types of data normalization for the proposition of classification, univariate and multivariate regression models for the direct analyses of alloys by laser-induced breakdown spectroscopy (LIBS);Castro et al., 2016;Federal University of São Carlos;Chemistry Department, Federal University of São Carlos, Brazil;Brazil;Journal of Analytical Atomic Spectrometry;106;06.07.2016;2016;Materials;Alloys;3;steel (71-99% (w/w)), steel (16-67% (w/w)), alloys (<6 % (w/w));?;Norm (12 modes compared);?;?;?;KNN, SIMCA, PLS-DA;KNN;KNN;KNN (1 neighbor);accuracy: 100%;-;?;MATLAB
https://link.springer.com/article/10.1007/s40995-016-0084-x;Identification and Sorting of PVC Polymer in Recycling Process by Laser-Induced Breakdown Spectroscopy (LIBS) Combined with Support Vector Machine (SVM) Model;Dastjerdi et al., 2016;University of Isfahan;Department of Physics, University of Isfahan, Iran;Iran;Iranian Journal of Science and Technology, Transactions A: Science;16;31.08.2016;2016;Polymers;Polymers;5;polyethylene (PE), polypropylene (PP), polyvinyl chloride (PVC), polystyrene (PS), poly(methyl metacrylate) (PMMA);?;?;?;?;?;SVM;SVM;SVM;SVM (polynomial kernel, 2nd degree);accuracy: 90.5%;-;?;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0039914016303824;Classification of red wine based on its protected designation of origin (PDO) using Laser-induced Breakdown Spectroscopy (LIBS);Moncayo et al., 2016;Complutense University;Laser Chemistry Lab, Department of Analytical Chemistry, Faculty of Chemical Sciences, Complutense University, Spain;Spain;Talanta;75;01.09.2016;2016;Foodstuff;Wines;15;"La Mancha,
Ribera de Duero, Rioja, Valdepeñas, Vinos de Madrid, Cariñeña,
Ribeiro, Ribera del Guadiana, Navarra, Somontano, Toro, Table wine, Chianti, Dornfelder, Valle Central";Visual inspection;NormIS (K: 766.49 nm);domain knowledge;Domain k-wledge;LIBS subregions:  355 RawInt (Mg, Ca, Na, H, K emissions);ANN;ANN;ANN;MLP (355, 2, 15);accuracy: 99.2%;accuracy: 98.6%;Internal + External;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0169743916301630;Classification of steel samples by laser-induced breakdown spectroscopy and random forest;Zhang et al., 2016;Northwest University ;Institute of Analytical Science, College of Chemistry & Materials Science, Northwest University,China;China;Chemometrics and Intelligent Laboratory Systems;43;15.10.2016;2016;Materials;Steel;9;20, 35, 20Cr, 40Cr, 20CrMo, 35CrMo, 42CrMo, 20CrNiMo, 20CrMnTi;Visual inspection;NormMaxInt;-;-;LIBS spectrum:  29800 RawInt (200-800 nm);RF, PLS-DA, SVM;RF;RF;RF (300 trees);accuracy: 87%;-;Internal;MATLAB
